,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
64,"Sunday, Jun 17",WSN,Home,NYY,1.0,4.0,38-26,1.0,up 4.0,D,-3
65,"Tuesday, Jun 19",WSN,Home,TBR,4.0,5.0,38-27,1.0,up 3.0,N,-4
66,"Wednesday, Jun 20",WSN,Home,TBR,3.0,2.0,39-27,1.0,up 3.0,N,1
67,"Thursday, Jun 21",WSN,Home,TBR,5.0,2.0,40-27,1.0,up 3.5,N,2
68,"Friday, Jun 22",WSN,@,BAL,1.0,2.0,40-28,1.0,up 2.5,N,-1
69,"Saturday, Jun 23",WSN,@,BAL,3.0,1.0,41-28,1.0,up 3.5,N,1
70,"Sunday, Jun 24",WSN,@,BAL,1.0,2.0,41-29,1.0,up 3.5,D,-1
71,"Monday, Jun 25",WSN,@,COL,2.0,4.0,41-30,1.0,up 3.5,N,-2
72,"Tuesday, Jun 26",WSN,@,COL,12.0,5.0,42-30,1.0,up 3.5,N,1
73,"Wednesday, Jun 27",WSN,@,COL,11.0,5.0,43-30,1.0,up 3.5,N,2
74,"Thursday, Jun 28",WSN,@,COL,10.0,11.0,43-31,1.0,up 3.5,D,-1
75,"Friday, Jun 29",WSN,@,ATL,5.0,4.0,44-31,1.0,up 3.5,N,1
76,"Saturday, Jun 30",WSN,@,ATL,5.0,7.0,44-32,1.0,up 2.5,D,-1
77,"Sunday, Jul 1",WSN,@,ATL,8.0,4.0,45-32,1.0,up 3.5,D,1
78,"Tuesday, Jul 3",WSN,Home,SFG,9.0,3.0,46-32,1.0,up 3.5,N,2
79,"Wednesday, Jul 4",WSN,Home,SFG,9.0,4.0,47-32,1.0,up 4.5,D,3
80,"Thursday, Jul 5",WSN,Home,SFG,6.0,5.0,48-32,1.0,up 4.5,N,4
81,"Friday, Jul 6",WSN,Home,COL,1.0,5.0,48-33,1.0,up 4.5,N,-1
82,"Saturday, Jul 7",WSN,Home,COL,4.0,1.0,49-33,1.0,up 4.5,D,1
83,"Sunday, Jul 8",WSN,Home,COL,3.0,4.0,49-34,1.0,up 4.0,D,-1
84,"Friday, Jul 13",WSN,@,MIA,5.0,1.0,50-34,1.0,up 4.0,N,1
85,"Saturday, Jul 14",WSN,@,MIA,1.0,2.0,50-35,1.0,up 3.0,N,-1
86,"Sunday, Jul 15",WSN,@,MIA,4.0,0.0,51-35,1.0,up 3.0,D,1
87,"Monday, Jul 16",WSN,@,MIA,3.0,5.0,51-36,1.0,up 2.5,N,-1
88,"Tuesday, Jul 17",WSN,Home,NYM,5.0,4.0,52-36,1.0,up 3.5,N,1
89,"Wednesday, Jul 18",WSN,Home,NYM,4.0,3.0,53-36,1.0,up 4.5,N,2
90,"Thursday, Jul 19",WSN,Home,NYM,5.0,9.0,53-37,1.0,up 3.5,D,-1
91,"Friday, Jul 20",WSN,Home,ATL,10.0,11.0,53-38,1.0,up 2.5,N,-2
92,"Saturday, Jul 21 (1)",WSN,Home,ATL,0.0,4.0,53-39,1.0,up 2.5,D,-3
93,"Saturday, Jul 21 (2)",WSN,Home,ATL,5.0,2.0,54-39,1.0,up 2.5,N,1
94,"Sunday, Jul 22",WSN,Home,ATL,9.0,2.0,55-39,1.0,up 3.5,D,2
95,"Monday, Jul 23",WSN,@,NYM,8.0,2.0,56-39,1.0,up 4.5,N,3
96,"Tuesday, Jul 24",WSN,@,NYM,5.0,2.0,57-39,1.0,up 4.5,N,4
97,"Wednesday, Jul 25",WSN,@,NYM,5.0,2.0,58-39,1.0,up 4.5,D,5
98,"Thursday, Jul 26",WSN,@,MIL,8.0,2.0,59-39,1.0,up 5.0,N,6
99,"Friday, Jul 27",WSN,@,MIL,0.0,6.0,59-40,1.0,up 4.0,N,-1
100,"Saturday, Jul 28",WSN,@,MIL,4.0,1.0,60-40,1.0,up 4.0,N,1
101,"Sunday, Jul 29",WSN,@,MIL,11.0,10.0,61-40,1.0,up 4.0,D,2
102,"Tuesday, Jul 31",WSN,Home,PHI,0.0,8.0,61-41,1.0,up 2.5,N,-1
103,"Wednesday, Aug 1",WSN,Home,PHI,2.0,3.0,61-42,1.0,up 2.5,N,-2
104,"Thursday, Aug 2",WSN,Home,PHI,3.0,0.0,62-42,1.0,up 2.5,N,1
105,"Friday, Aug 3 (1)",WSN,Home,MIA,7.0,4.0,63-42,1.0,up 2.0,D,2
106,"Friday, Aug 3 (2)",WSN,Home,MIA,2.0,5.0,63-43,1.0,up 2.0,N,-1
107,"Saturday, Aug 4",WSN,Home,MIA,10.0,7.0,64-43,1.0,up 3.0,N,1
108,"Sunday, Aug 5",WSN,Home,MIA,4.0,1.0,65-43,1.0,up 3.0,D,2
109,"Monday, Aug 6",WSN,@,HOU,5.0,4.0,66-43,1.0,up 3.0,N,3
110,"Tuesday, Aug 7",WSN,@,HOU,3.0,2.0,67-43,1.0,up 4.0,N,4
111,"Wednesday, Aug 8",WSN,@,HOU,4.0,3.0,68-43,1.0,up 4.0,N,5
112,"Thursday, Aug 9",WSN,@,HOU,5.0,0.0,69-43,1.0,up 4.5,N,6
113,"Friday, Aug 10",WSN,@,ARI,9.0,1.0,70-43,1.0,up 4.5,N,7
114,"Saturday, Aug 11",WSN,@,ARI,6.0,5.0,71-43,1.0,up 4.5,N,8
115,"Sunday, Aug 12",WSN,@,ARI,4.0,7.0,71-44,1.0,up 4.5,D,-1
116,"Monday, Aug 13",WSN,@,SFG,14.0,2.0,72-44,1.0,up 5.5,N,1
117,"Tuesday, Aug 14",WSN,@,SFG,1.0,6.0,72-45,1.0,up 4.5,N,-1
118,"Wednesday, Aug 15",WSN,@,SFG,6.0,4.0,73-45,1.0,up 4.5,D,1
119,"Friday, Aug 17",WSN,Home,NYM,6.0,4.0,74-45,1.0,up 4.0,N,2
120,"Saturday, Aug 18",WSN,Home,NYM,0.0,2.0,74-46,1.0,up 4.0,N,-1
121,"Sunday, Aug 19",WSN,Home,NYM,5.0,2.0,75-46,1.0,up 5.0,D,1
122,"Monday, Aug 20",WSN,Home,ATL,5.0,4.0,76-46,1.0,up 6.0,N,2
123,"Tuesday, Aug 21",WSN,Home,ATL,4.0,1.0,77-46,1.0,up 7.0,N,3
124,"Wednesday, Aug 22",WSN,Home,ATL,1.0,5.0,77-47,1.0,up 6.0,N,-1
125,"Friday, Aug 24",WSN,@,PHI,2.0,4.0,77-48,1.0,up 6.5,N,-2
126,"Saturday, Aug 25",WSN,@,PHI,2.0,4.0,77-49,1.0,up 5.5,N,-3
127,"Sunday, Aug 26",WSN,@,PHI,1.0,4.0,77-50,1.0,up 4.5,D,-4
128,"Tuesday, Aug 28",WSN,@,MIA,0.0,9.0,77-51,1.0,up 4.0,N,-5
129,"Wednesday, Aug 29",WSN,@,MIA,8.0,4.0,78-51,1.0,up 5.0,N,1
130,"Thursday, Aug 30",WSN,Home,STL,8.0,1.0,79-51,1.0,up 5.5,N,2
131,"Friday, Aug 31",WSN,Home,STL,10.0,0.0,80-51,1.0,up 6.5,N,3
132,"Saturday, Sep 1",WSN,Home,STL,9.0,10.0,80-52,1.0,up 6.5,D,-1
133,"Sunday, Sep 2",WSN,Home,STL,4.0,3.0,81-52,1.0,up 6.5,D,1
134,"Monday, Sep 3",WSN,Home,CHC,2.0,1.0,82-52,1.0,up 6.5,D,2
135,"Tuesday, Sep 4",WSN,Home,CHC,11.0,5.0,83-52,1.0,up 7.5,N,3
136,"Wednesday, Sep 5",WSN,Home,CHC,9.0,1.0,84-52,1.0,up 7.5,N,4
137,"Thursday, Sep 6",WSN,Home,CHC,9.0,2.0,85-52,1.0,up 7.5,N,5
138,"Friday, Sep 7",WSN,Home,MIA,7.0,9.0,85-53,1.0,up 6.5,N,-1
139,"Saturday, Sep 8",WSN,Home,MIA,7.0,6.0,86-53,1.0,up 6.5,D,1
140,"Sunday, Sep 9",WSN,Home,MIA,0.0,8.0,86-54,1.0,up 5.5,D,-1
141,"Monday, Sep 10",WSN,@,NYM,5.0,1.0,87-54,1.0,up 6.5,N,1
142,"Tuesday, Sep 11",WSN,@,NYM,5.0,3.0,88-54,1.0,up 7.5,N,2
143,"Wednesday, Sep 12",WSN,@,NYM,2.0,0.0,89-54,1.0,up 8.5,N,3
144,"Friday, Sep 14",WSN,@,ATL,1.0,2.0,89-55,1.0,up 7.5,N,-1
145,"Saturday, Sep 15",WSN,@,ATL,4.0,5.0,89-56,1.0,up 6.5,D,-2
146,"Sunday, Sep 16",WSN,@,ATL,1.0,5.0,89-57,1.0,up 5.5,N,-3
147,"Wednesday, Sep 19 (1)",WSN,Home,LAD,3.0,1.0,90-57,1.0,up 5.0,D,1
148,"Wednesday, Sep 19 (2)",WSN,Home,LAD,6.0,7.0,90-58,1.0,up 5.0,N,-1
149,"Thursday, Sep 20",WSN,Home,LAD,4.0,1.0,91-58,1.0,up 5.5,N,1
150,"Friday, Sep 21",WSN,Home,MIL,2.0,4.0,91-59,1.0,up 5.5,N,-1
