,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
117,"Saturday, Aug 9",CLE,@,NYY,3.0,0.0,58-59,3.0,6.5,D,1
118,"Sunday, Aug 10",CLE,@,NYY,4.0,1.0,59-59,3.0,5.5,D,2
119,"Wednesday, Aug 13 (1)",CLE,Home,ARI,3.0,2.0,60-59,3.0,5.5,D,3
120,"Wednesday, Aug 13 (2)",CLE,Home,ARI,0.0,1.0,60-60,3.0,5.5,N,-1
121,"Friday, Aug 15",CLE,Home,BAL,2.0,1.0,61-60,3.0,6.0,N,1
122,"Saturday, Aug 16",CLE,Home,BAL,6.0,0.0,62-60,3.0,5.0,N,2
123,"Sunday, Aug 17",CLE,Home,BAL,1.0,4.0,62-61,3.0,6.0,D,-1
124,"Tuesday, Aug 19",CLE,@,MIN,7.0,5.0,63-61,3.0,6.5,N,1
125,"Wednesday, Aug 20",CLE,@,MIN,5.0,0.0,64-61,3.0,5.5,N,2
126,"Thursday, Aug 21",CLE,@,MIN,1.0,4.0,64-62,3.0,6.0,D,-1
127,"Friday, Aug 22",CLE,Home,HOU,1.0,5.0,64-63,3.0,7.0,N,-2
128,"Saturday, Aug 23",CLE,Home,HOU,3.0,2.0,65-63,3.0,7.0,N,1
129,"Sunday, Aug 24",CLE,Home,HOU,3.0,1.0,66-63,3.0,6.0,D,2
130,"Tuesday, Aug 26",CLE,@,CHW,8.0,6.0,67-63,3.0,5.5,N,3
131,"Wednesday, Aug 27",CLE,@,CHW,2.0,3.0,67-64,3.0,6.5,N,-1
132,"Thursday, Aug 28",CLE,@,CHW,3.0,2.0,68-64,3.0,5.5,N,1
133,"Friday, Aug 29",CLE,@,KCR,6.0,1.0,69-64,3.0,4.5,N,2
134,"Saturday, Aug 30",CLE,@,KCR,3.0,2.0,70-64,3.0,3.5,N,3
135,"Sunday, Aug 31",CLE,@,KCR,4.0,3.0,71-64,3.0,2.5,N,4
136,"Monday, Sep 1",CLE,Home,DET,1.0,12.0,71-65,3.0,3.5,D,-1
137,"Tuesday, Sep 2",CLE,Home,DET,2.0,4.0,71-66,3.0,4.5,N,-2
138,"Wednesday, Sep 3",CLE,Home,DET,7.0,0.0,72-66,3.0,4.5,N,1
139,"Thursday, Sep 4",CLE,Home,DET,4.0,11.0,72-67,3.0,5.0,N,-1
140,"Friday, Sep 5",CLE,Home,CHW,2.0,1.0,73-67,3.0,5.0,N,1
141,"Saturday, Sep 6",CLE,Home,CHW,3.0,1.0,74-67,3.0,4.0,N,2
142,"Sunday, Sep 7",CLE,Home,CHW,2.0,0.0,75-67,3.0,4.0,D,3
143,"Monday, Sep 8",CLE,Home,LAA,3.0,12.0,75-68,3.0,4.0,D,-1
144,"Tuesday, Sep 9",CLE,Home,MIN,3.0,4.0,75-69,3.0,4.5,N,-2
145,"Thursday, Sep 11 (1)",CLE,Home,MIN,8.0,2.0,76-69,3.0,3.0,D,1
146,"Thursday, Sep 11 (2)",CLE,Home,MIN,2.0,0.0,77-69,3.0,3.0,D,2
147,"Friday, Sep 12",CLE,@,DET,2.0,7.0,77-70,3.0,4.0,N,-1
148,"Saturday, Sep 13",CLE,@,DET,4.0,5.0,77-71,3.0,5.0,N,-2
149,"Sunday, Sep 14",CLE,@,DET,4.0,6.0,77-72,3.0,6.0,D,-3
150,"Monday, Sep 15",CLE,@,HOU,1.0,3.0,77-73,3.0,7.0,N,-4
151,"Tuesday, Sep 16",CLE,@,HOU,4.0,2.0,78-73,3.0,6.0,N,1
152,"Wednesday, Sep 17",CLE,@,HOU,2.0,0.0,79-73,3.0,5.0,N,2
153,"Thursday, Sep 18",CLE,@,HOU,2.0,1.0,80-73,3.0,4.5,N,3
154,"Friday, Sep 19",CLE,@,MIN,4.0,5.0,80-74,3.0,5.5,N,-1
155,"Saturday, Sep 20",CLE,@,MIN,7.0,3.0,81-74,3.0,5.5,N,1
156,"Sunday, Sep 21",CLE,@,MIN,7.0,2.0,82-74,3.0,4.5,D,2
157,"Monday, Sep 22",CLE,Home,KCR,0.0,2.0,82-75,3.0,4.5,N,-1
158,"Tuesday, Sep 23",CLE,Home,KCR,1.0,7.0,82-76,3.0,5.5,N,-2
