,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
57,"Friday, Sep 25 (1)",SFG,Home,SDP,5.0,4.0,29-28,3.0,12.0,D,1
58,"Friday, Sep 25 (2)",SFG,Home,SDP,5.0,6.0,29-29,3.0,12.0,N,-1
59,"Saturday, Sep 26",SFG,Home,SDP,2.0,6.0,29-30,3.0,13.0,N,-2
60,"Sunday, Sep 27",SFG,Home,SDP,4.0,5.0,29-31,3.0,14.0,D,-3
1,"Thursday, Apr 1",SFG,@,SEA,7.0,8.0,0-1,3.0,1.0,N,-1
2,"Friday, Apr 2",SFG,@,SEA,6.0,3.0,1-1,2.0,1.0,N,1
3,"Saturday, Apr 3",SFG,@,SEA,0.0,4.0,1-2,3.0,2.0,N,-1
4,"Monday, Apr 5",SFG,@,SDP,3.0,2.0,2-2,3.0,1.5,N,1
5,"Tuesday, Apr 6",SFG,@,SDP,1.0,3.0,2-3,3.0,2.5,N,-1
6,"Wednesday, Apr 7",SFG,@,SDP,3.0,2.0,3-3,3.0,1.5,D,1
7,"Friday, Apr 9",SFG,Home,COL,3.0,1.0,4-3,3.0,1.5,D,2
8,"Saturday, Apr 10",SFG,Home,COL,4.0,3.0,5-3,3.0,1.5,D,3
9,"Sunday, Apr 11",SFG,Home,COL,4.0,0.0,6-3,3.0,1.5,D,4
10,"Monday, Apr 12",SFG,Home,CIN,0.0,3.0,6-4,3.0,2.0,N,-1
11,"Tuesday, Apr 13",SFG,Home,CIN,7.0,6.0,7-4,3.0,2.0,N,1
12,"Wednesday, Apr 14",SFG,Home,CIN,3.0,0.0,8-4,2.0,2.0,D,2
13,"Friday, Apr 16",SFG,@,MIA,1.0,4.0,8-5,2.0,3.5,N,-1
14,"Saturday, Apr 17",SFG,@,MIA,6.0,7.0,8-6,2.0,4.5,N,-2
15,"Sunday, Apr 18",SFG,@,MIA,1.0,0.0,9-6,2.0,3.5,D,1
16,"Monday, Apr 19",SFG,@,PHI,2.0,0.0,10-6,2.0,2.5,N,2
17,"Tuesday, Apr 20",SFG,@,PHI,10.0,7.0,11-6,2.0,2.5,N,3
18,"Wednesday, Apr 21",SFG,@,PHI,5.0,6.0,11-7,2.0,3.0,D,-1
19,"Thursday, Apr 22",SFG,Home,MIA,3.0,0.0,12-7,2.0,2.0,N,1
20,"Friday, Apr 23",SFG,Home,MIA,5.0,3.0,13-7,2.0,1.0,N,2
21,"Saturday, Apr 24",SFG,Home,MIA,2.0,5.0,13-8,2.0,2.0,N,-1
22,"Sunday, Apr 25",SFG,Home,MIA,4.0,3.0,14-8,2.0,1.0,D,1
23,"Monday, Apr 26",SFG,Home,COL,12.0,0.0,15-8,1.0,Tied,N,2
24,"Tuesday, Apr 27",SFG,Home,COL,5.0,7.0,15-9,1.0,Tied,N,-1
25,"Wednesday, Apr 28",SFG,Home,COL,7.0,3.0,16-9,1.0,Tied,N,1
26,"Friday, Apr 30",SFG,@,SDP,2.0,3.0,16-10,1.0,up 0.5,N,-1
27,"Saturday, May 1",SFG,@,SDP,2.0,6.0,16-11,1.0,up 0.5,N,-2
28,"Sunday, May 2",SFG,@,SDP,7.0,1.0,17-11,1.0,up 0.5,D,1
29,"Tuesday, May 4 (1)",SFG,@,COL,12.0,4.0,18-11,1.0,up 1.5,D,2
30,"Tuesday, May 4 (2)",SFG,@,COL,6.0,8.0,18-12,1.0,up 1.5,N,-1
31,"Wednesday, May 5",SFG,@,COL,5.0,6.0,18-13,1.0,up 0.5,D,-2
32,"Friday, May 7",SFG,Home,SDP,5.0,4.0,19-13,1.0,up 1.5,N,1
33,"Saturday, May 8",SFG,Home,SDP,7.0,1.0,20-13,1.0,up 2.5,D,2
34,"Sunday, May 9",SFG,Home,SDP,1.0,11.0,20-14,1.0,up 1.5,D,-1
35,"Monday, May 10",SFG,Home,TEX,3.0,1.0,21-14,1.0,up 2.0,N,1
36,"Tuesday, May 11",SFG,Home,TEX,4.0,2.0,22-14,1.0,up 2.0,D,2
37,"Thursday, May 13",SFG,@,PIT,3.0,1.0,23-14,1.0,up 2.5,N,3
38,"Friday, May 14",SFG,@,PIT,2.0,3.0,23-15,1.0,up 1.5,N,-1
39,"Saturday, May 15",SFG,@,PIT,6.0,8.0,23-16,1.0,up 0.5,N,-2
40,"Sunday, May 16",SFG,@,PIT,4.0,1.0,24-16,1.0,up 0.5,D,1
41,"Monday, May 17",SFG,@,CIN,6.0,3.0,25-16,1.0,up 0.5,N,2
42,"Tuesday, May 18",SFG,@,CIN,4.0,2.0,26-16,1.0,up 0.5,N,3
43,"Wednesday, May 19",SFG,@,CIN,4.0,0.0,27-16,1.0,up 0.5,N,4
44,"Thursday, May 20",SFG,@,CIN,19.0,4.0,28-16,1.0,up 1.0,D,5
45,"Friday, May 21",SFG,Home,LAD,1.0,2.0,28-17,1.0,Tied,N,-1
46,"Saturday, May 22",SFG,Home,LAD,3.0,6.0,28-18,2.0,1.0,D,-2
47,"Sunday, May 23",SFG,Home,LAD,5.0,11.0,28-19,3.0,2.0,D,-3
48,"Tuesday, May 25",SFG,@,ARI,8.0,0.0,29-19,3.0,1.5,N,1
49,"Wednesday, May 26",SFG,@,ARI,5.0,4.0,30-19,2.0,1.5,N,2
50,"Thursday, May 27",SFG,@,LAD,3.0,4.0,30-20,3.0,1.5,N,-1
51,"Friday, May 28",SFG,@,LAD,8.0,5.0,31-20,2.0,1.5,N,1
52,"Saturday, May 29",SFG,@,LAD,11.0,6.0,32-20,2.0,1.5,D,2
53,"Sunday, May 30",SFG,@,LAD,5.0,4.0,33-20,2.0,0.5,D,3
54,"Monday, May 31",SFG,Home,LAA,6.0,1.0,34-20,1.0,up 0.5,D,4
55,"Tuesday, Jun 1",SFG,Home,LAA,1.0,8.0,34-21,1.0,up 0.5,N,-1
56,"Thursday, Jun 3",SFG,Home,CHC,7.0,2.0,35-21,1.0,up 1.0,N,1
57,"Friday, Jun 4",SFG,Home,CHC,8.0,5.0,36-21,1.0,up 1.0,N,2
58,"Saturday, Jun 5",SFG,Home,CHC,4.0,3.0,37-21,1.0,up 2.0,D,3
59,"Sunday, Jun 6",SFG,Home,CHC,3.0,4.0,37-22,1.0,up 2.0,D,-1
60,"Tuesday, Jun 8",SFG,@,TEX,9.0,4.0,38-22,1.0,up 2.5,N,1
61,"Wednesday, Jun 9",SFG,@,TEX,3.0,4.0,38-23,1.0,up 2.0,D,-1
62,"Friday, Jun 11",SFG,@,WSN,1.0,0.0,39-23,1.0,up 1.5,N,1
63,"Saturday, Jun 12 (1)",SFG,@,WSN,0.0,2.0,39-24,1.0,up 2.0,D,-1
64,"Saturday, Jun 12 (2)",SFG,@,WSN,2.0,1.0,40-24,1.0,up 2.0,N,1
65,"Sunday, Jun 13",SFG,@,WSN,0.0,5.0,40-25,1.0,up 1.0,D,-1
66,"Monday, Jun 14",SFG,Home,ARI,5.0,2.0,41-25,1.0,up 1.0,N,1
67,"Tuesday, Jun 15",SFG,Home,ARI,9.0,8.0,42-25,1.0,up 1.0,N,2
68,"Wednesday, Jun 16",SFG,Home,ARI,13.0,7.0,43-25,1.0,up 2.0,N,3
69,"Thursday, Jun 17",SFG,Home,ARI,10.0,3.0,44-25,1.0,up 2.5,D,4
70,"Friday, Jun 18",SFG,Home,PHI,5.0,3.0,45-25,1.0,up 2.5,N,5
71,"Saturday, Jun 19",SFG,Home,PHI,6.0,13.0,45-26,1.0,up 1.5,D,-1
72,"Sunday, Jun 20",SFG,Home,PHI,11.0,2.0,46-26,1.0,up 1.5,D,1
73,"Tuesday, Jun 22",SFG,@,LAA,5.0,0.0,47-26,1.0,up 3.0,N,2
74,"Wednesday, Jun 23",SFG,@,LAA,9.0,3.0,48-26,1.0,up 4.0,D,3
75,"Friday, Jun 25",SFG,Home,OAK,2.0,0.0,49-26,1.0,up 4.5,N,4
76,"Saturday, Jun 26",SFG,Home,OAK,6.0,5.0,50-26,1.0,up 4.5,N,5
77,"Sunday, Jun 27",SFG,Home,OAK,2.0,6.0,50-27,1.0,up 3.5,D,-1
78,"Monday, Jun 28",SFG,@,LAD,2.0,3.0,50-28,1.0,up 2.5,N,-2
79,"Tuesday, Jun 29",SFG,@,LAD,1.0,3.0,50-29,1.0,up 1.5,N,-3
80,"Thursday, Jul 1",SFG,@,ARI,3.0,5.0,50-30,1.0,up 0.5,N,-4
81,"Friday, Jul 2",SFG,@,ARI,11.0,4.0,51-30,1.0,up 0.5,N,1
82,"Saturday, Jul 3",SFG,@,ARI,6.0,5.0,52-30,1.0,up 0.5,N,2
83,"Sunday, Jul 4",SFG,@,ARI,5.0,2.0,53-30,1.0,up 0.5,N,3
84,"Monday, Jul 5",SFG,Home,STL,3.0,5.0,53-31,1.0,up 0.5,D,-1
85,"Tuesday, Jul 6",SFG,Home,STL,5.0,6.0,53-32,1.0,up 0.5,N,-2
86,"Wednesday, Jul 7",SFG,Home,STL,5.0,2.0,54-32,1.0,up 1.5,N,1
87,"Friday, Jul 9",SFG,Home,WSN,5.0,3.0,55-32,1.0,up 2.0,N,2
88,"Saturday, Jul 10",SFG,Home,WSN,10.0,4.0,56-32,1.0,up 2.0,D,3
89,"Sunday, Jul 11",SFG,Home,WSN,3.0,1.0,57-32,1.0,up 2.0,D,4
90,"Friday, Jul 16",SFG,@,STL,7.0,2.0,58-32,1.0,up 2.0,N,5
91,"Saturday, Jul 17",SFG,@,STL,1.0,3.0,58-33,1.0,up 1.0,N,-1
92,"Sunday, Jul 18",SFG,@,STL,1.0,2.0,58-34,1.0,up 1.0,D,-2
93,"Monday, Jul 19",SFG,@,LAD,7.0,2.0,59-34,1.0,up 2.0,N,1
94,"Tuesday, Jul 20",SFG,@,LAD,6.0,8.0,59-35,1.0,up 1.0,N,-1
95,"Wednesday, Jul 21",SFG,@,LAD,4.0,2.0,60-35,1.0,up 2.0,N,1
96,"Thursday, Jul 22",SFG,@,LAD,5.0,3.0,61-35,1.0,up 3.0,N,2
97,"Friday, Jul 23",SFG,Home,PIT,4.0,6.0,61-36,1.0,up 3.0,N,-1
98,"Saturday, Jul 24",SFG,Home,PIT,2.0,10.0,61-37,1.0,up 2.0,N,-2
99,"Sunday, Jul 25",SFG,Home,PIT,6.0,1.0,62-37,1.0,up 2.0,D,1
100,"Tuesday, Jul 27",SFG,Home,LAD,2.0,1.0,63-37,1.0,up 3.0,N,2
101,"Wednesday, Jul 28",SFG,Home,LAD,0.0,8.0,63-38,1.0,up 2.0,N,-1
102,"Thursday, Jul 29",SFG,Home,LAD,5.0,0.0,64-38,1.0,up 3.0,D,1
103,"Friday, Jul 30",SFG,Home,HOU,6.0,9.0,64-39,1.0,up 3.0,N,-1
104,"Saturday, Jul 31",SFG,Home,HOU,8.0,6.0,65-39,1.0,up 3.0,D,1
105,"Sunday, Aug 1",SFG,Home,HOU,5.0,3.0,66-39,1.0,up 3.0,D,2
106,"Monday, Aug 2",SFG,@,ARI,11.0,8.0,67-39,1.0,up 3.5,N,3
107,"Tuesday, Aug 3",SFG,@,ARI,1.0,3.0,67-40,1.0,up 3.5,N,-1
108,"Wednesday, Aug 4",SFG,@,ARI,7.0,1.0,68-40,1.0,up 3.5,N,1
109,"Thursday, Aug 5",SFG,@,ARI,5.0,4.0,69-40,1.0,up 4.0,D,2
110,"Friday, Aug 6",SFG,@,MIL,1.0,2.0,69-41,1.0,up 4.0,N,-1
111,"Saturday, Aug 7",SFG,@,MIL,9.0,6.0,70-41,1.0,up 4.0,N,1
112,"Sunday, Aug 8",SFG,@,MIL,5.0,4.0,71-41,1.0,up 4.0,D,2
