,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
161,"Sunday, Oct 2",DET,@,ATL,0.0,1.0,86-75,2.0,8.0,D,-2
1,"Tuesday, Apr 4",DET,@,CHW,6.0,3.0,1-0,2.0,0.5,D,1
2,"Thursday, Apr 6",DET,@,CHW,2.0,11.0,1-1,3.0,1.5,D,-1
3,"Friday, Apr 7",DET,Home,BOS,6.0,5.0,2-1,3.0,1.5,D,1
4,"Saturday, Apr 8",DET,Home,BOS,4.0,1.0,3-1,2.0,0.5,D,2
5,"Sunday, Apr 9",DET,Home,BOS,5.0,7.0,3-2,2.0,1.5,D,-1
6,"Monday, Apr 10",DET,Home,BOS,2.0,1.0,4-2,2.0,1.0,D,1
7,"Tuesday, Apr 11",DET,Home,MIN,2.0,1.0,5-2,1.0,Tied,D,2
8,"Wednesday, Apr 12",DET,Home,MIN,5.0,3.0,6-2,1.0,up 1.0,D,3
9,"Thursday, Apr 13",DET,Home,MIN,5.0,11.0,6-3,1.0,Tied,D,-1
10,"Friday, Apr 14",DET,@,CLE,7.0,6.0,7-3,1.0,up 1.0,N,1
11,"Saturday, Apr 15",DET,@,CLE,6.0,13.0,7-4,1.0,Tied,D,-1
12,"Sunday, Apr 16",DET,@,CLE,4.0,1.0,8-4,1.0,up 1.0,D,1
13,"Tuesday, Apr 18",DET,@,TBR,1.0,5.0,8-5,1.0,up 1.0,N,-1
14,"Wednesday, Apr 19",DET,@,TBR,7.0,8.0,8-6,1.0,up 1.0,N,-2
15,"Thursday, Apr 20",DET,@,TBR,1.0,8.0,8-7,1.0,Tied,D,-3
16,"Friday, Apr 21",DET,@,MIN,3.0,6.0,8-8,2.0,1.0,N,-4
17,"Saturday, Apr 22",DET,@,MIN,5.0,4.0,9-8,2.0,1.0,D,1
18,"Sunday, Apr 23",DET,@,MIN,13.0,4.0,10-8,1.0,Tied,D,2
19,"Tuesday, Apr 25",DET,Home,SEA,19.0,9.0,11-8,1.0,up 1.0,N,3
20,"Wednesday, Apr 26",DET,Home,SEA,0.0,8.0,11-9,1.0,Tied,N,-1
21,"Thursday, Apr 27",DET,Home,SEA,1.0,2.0,11-10,3.0,1.0,D,-2
22,"Friday, Apr 28",DET,Home,CHW,3.0,7.0,11-11,3.0,1.5,N,-3
23,"Saturday, Apr 29",DET,Home,CHW,4.0,6.0,11-12,4.0,2.5,D,-4
24,"Sunday, Apr 30",DET,Home,CHW,7.0,3.0,12-12,4.0,2.0,D,1
25,"Monday, May 1",DET,Home,CLE,7.0,1.0,13-12,3.0,1.0,N,2
