,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
122,"Saturday, Aug 19",KCR,Home,CLE,0.0,5.0,61-61,3.0,7.5,N,-2
123,"Sunday, Aug 20",KCR,Home,CLE,7.0,4.0,62-61,3.0,6.5,D,1
124,"Tuesday, Aug 22",KCR,Home,COL,3.0,2.0,63-61,3.0,6.0,N,2
125,"Wednesday, Aug 23",KCR,Home,COL,6.0,4.0,64-61,3.0,5.0,N,3
126,"Thursday, Aug 24",KCR,Home,COL,2.0,3.0,64-62,3.0,6.0,D,-1
127,"Friday, Aug 25",KCR,@,CLE,0.0,4.0,64-63,3.0,7.0,N,-2
128,"Saturday, Aug 26",KCR,@,CLE,0.0,4.0,64-64,3.0,8.0,N,-3
129,"Sunday, Aug 27",KCR,@,CLE,0.0,12.0,64-65,3.0,9.0,D,-4
130,"Monday, Aug 28",KCR,Home,TBR,0.0,12.0,64-66,3.0,10.0,N,-5
131,"Tuesday, Aug 29",KCR,Home,TBR,6.0,2.0,65-66,3.0,9.5,N,1
132,"Wednesday, Aug 30",KCR,Home,TBR,3.0,5.0,65-67,3.0,11.0,N,-1
133,"Friday, Sep 1",KCR,@,MIN,7.0,6.0,66-67,3.0,11.5,N,1
134,"Saturday, Sep 2",KCR,@,MIN,0.0,17.0,66-68,3.0,12.5,N,-1
135,"Sunday, Sep 3",KCR,@,MIN,5.0,4.0,67-68,3.0,12.5,D,1
136,"Monday, Sep 4",KCR,@,DET,7.0,6.0,68-68,3.0,12.5,D,2
137,"Tuesday, Sep 5",KCR,@,DET,2.0,13.0,68-69,3.0,13.5,N,-1
138,"Wednesday, Sep 6",KCR,@,DET,13.0,2.0,69-69,3.0,13.5,N,1
139,"Thursday, Sep 7",KCR,Home,MIN,2.0,4.0,69-70,3.0,14.5,N,-1
140,"Friday, Sep 8",KCR,Home,MIN,5.0,8.0,69-71,3.0,15.5,N,-2
