,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
39,"Saturday, Sep 5",ATL,Home,WSN,4.0,10.0,23-16,1.0,up 2.0,N,-2
40,"Sunday, Sep 6",ATL,Home,WSN,10.0,3.0,24-16,1.0,up 3.0,D,1
41,"Monday, Sep 7",ATL,Home,MIA,4.0,5.0,24-17,1.0,up 2.0,D,-1
42,"Tuesday, Sep 8",ATL,Home,MIA,0.0,8.0,24-18,1.0,up 1.5,N,-2
43,"Wednesday, Sep 9",ATL,Home,MIA,29.0,9.0,25-18,1.0,up 2.0,N,1
44,"Thursday, Sep 10",ATL,@,WSN,7.0,6.0,26-18,1.0,up 3.0,N,2
45,"Friday, Sep 11",ATL,@,WSN,7.0,8.0,26-19,1.0,up 2.5,N,-1
46,"Saturday, Sep 12",ATL,@,WSN,2.0,1.0,27-19,1.0,up 2.5,N,1
47,"Sunday, Sep 13",ATL,@,WSN,8.0,4.0,28-19,1.0,up 3.5,D,2
48,"Monday, Sep 14",ATL,@,BAL,1.0,14.0,28-20,1.0,up 2.5,N,-1
49,"Tuesday, Sep 15",ATL,@,BAL,5.0,1.0,29-20,1.0,up 3.5,N,1
50,"Wednesday, Sep 16",ATL,@,BAL,1.0,5.0,29-21,1.0,up 2.5,N,-1
51,"Friday, Sep 18",ATL,@,NYM,15.0,2.0,30-21,1.0,up 3.5,N,1
52,"Saturday, Sep 19",ATL,@,NYM,2.0,7.0,30-22,1.0,up 2.5,N,-1
53,"Sunday, Sep 20",ATL,@,NYM,7.0,0.0,31-22,1.0,up 3.0,D,1
54,"Monday, Sep 21",ATL,Home,MIA,5.0,4.0,32-22,1.0,up 4.0,N,2
55,"Tuesday, Sep 22",ATL,Home,MIA,11.0,1.0,33-22,1.0,up 5.0,N,3
56,"Wednesday, Sep 23",ATL,Home,MIA,9.0,4.0,34-22,1.0,up 6.0,N,4
57,"Thursday, Sep 24",ATL,Home,MIA,2.0,4.0,34-23,1.0,up 5.0,N,-1
58,"Friday, Sep 25",ATL,Home,BOS,8.0,7.0,35-23,1.0,up 5.0,N,1
59,"Saturday, Sep 26",ATL,Home,BOS,2.0,8.0,35-24,1.0,up 5.0,N,-1
60,"Sunday, Sep 27",ATL,Home,BOS,1.0,9.0,35-25,1.0,up 4.0,D,-2
1,"Thursday, Apr 1",ATL,@,PHI,2.0,3.0,0-1,4.0,1.0,D,-1
2,"Saturday, Apr 3",ATL,@,PHI,0.0,4.0,0-2,5.0,2.0,D,-2
3,"Sunday, Apr 4",ATL,@,PHI,1.0,2.0,0-3,5.0,3.0,D,-3
4,"Tuesday, Apr 6",ATL,@,WSN,5.0,6.0,0-4,5.0,3.5,D,-4
