,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
60,"Thursday, Jun 5",COL,Home,ARI,7.0,12.0,28-32,3.0,11.5,N,-7
61,"Friday, Jun 6",COL,Home,LAD,2.0,7.0,28-33,3.0,12.5,N,-8
62,"Saturday, Jun 7",COL,Home,LAD,5.0,4.0,29-33,3.0,12.5,D,1
63,"Sunday, Jun 8",COL,Home,LAD,1.0,6.0,29-34,3.0,13.5,D,-1
64,"Monday, Jun 9",COL,Home,ATL,1.0,3.0,29-35,3.0,13.5,N,-2
65,"Tuesday, Jun 10",COL,Home,ATL,10.0,13.0,29-36,3.0,13.5,N,-3
66,"Wednesday, Jun 11",COL,Home,ATL,8.0,2.0,30-36,3.0,12.5,N,1
67,"Thursday, Jun 12",COL,Home,ATL,10.0,3.0,31-36,3.0,12.5,D,2
68,"Friday, Jun 13",COL,@,SFG,7.0,4.0,32-36,3.0,11.5,N,3
69,"Saturday, Jun 14",COL,@,SFG,5.0,4.0,33-36,3.0,10.5,D,4
70,"Sunday, Jun 15",COL,@,SFG,8.0,7.0,34-36,3.0,9.5,D,5
71,"Monday, Jun 16",COL,@,LAD,1.0,6.0,34-37,3.0,10.0,N,-1
72,"Tuesday, Jun 17",COL,@,LAD,2.0,4.0,34-38,3.0,10.0,N,-2
73,"Wednesday, Jun 18",COL,@,LAD,0.0,8.0,34-39,3.0,10.0,N,-3
74,"Friday, Jun 20",COL,Home,MIL,10.0,13.0,34-40,3.0,10.0,N,-4
75,"Saturday, Jun 21",COL,Home,MIL,4.0,9.0,34-41,3.0,11.0,D,-5
76,"Sunday, Jun 22",COL,Home,MIL,5.0,6.0,34-42,3.0,12.0,D,-6
77,"Monday, Jun 23",COL,Home,STL,0.0,8.0,34-43,3.0,12.0,N,-7
78,"Tuesday, Jun 24",COL,Home,STL,10.0,5.0,35-43,3.0,11.0,N,1
79,"Wednesday, Jun 25",COL,Home,STL,6.0,9.0,35-44,3.0,12.0,D,-1
80,"Thursday, Jun 26",COL,@,MIL,4.0,7.0,35-45,3.0,12.0,N,-2
81,"Friday, Jun 27",COL,@,MIL,2.0,3.0,35-46,3.0,12.0,N,-3
82,"Saturday, Jun 28",COL,@,MIL,4.0,7.0,35-47,3.0,12.0,D,-4
83,"Sunday, Jun 29",COL,@,MIL,10.0,4.0,36-47,3.0,11.0,D,1
84,"Monday, Jun 30",COL,@,WSN,3.0,7.0,36-48,4.0,11.5,N,-1
85,"Tuesday, Jul 1",COL,@,WSN,1.0,7.0,36-49,4.0,12.5,N,-2
