,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
87,"Saturday, Jul 6",CIN,Home,SEA,13.0,4.0,50-37,3.0,3.5,D,1
88,"Sunday, Jul 7",CIN,Home,SEA,1.0,3.0,50-38,3.0,3.5,D,-1
89,"Monday, Jul 8",CIN,@,MIL,3.0,4.0,50-39,3.0,4.0,N,-2
90,"Tuesday, Jul 9",CIN,@,MIL,0.0,2.0,50-40,3.0,5.0,N,-3
91,"Wednesday, Jul 10",CIN,@,MIL,6.0,2.0,51-40,3.0,5.0,D,1
92,"Thursday, Jul 11",CIN,@,ATL,5.0,6.0,51-41,3.0,5.0,N,-1
93,"Friday, Jul 12",CIN,@,ATL,4.0,2.0,52-41,3.0,5.0,N,1
94,"Saturday, Jul 13",CIN,@,ATL,2.0,5.0,52-42,3.0,5.0,D,-1
95,"Sunday, Jul 14",CIN,@,ATL,8.0,4.0,53-42,3.0,5.0,D,1
96,"Friday, Jul 19",CIN,Home,PIT,5.0,3.0,54-42,3.0,5.0,N,2
97,"Saturday, Jul 20",CIN,Home,PIT,5.0,4.0,55-42,3.0,4.0,D,3
98,"Sunday, Jul 21",CIN,Home,PIT,2.0,3.0,55-43,3.0,5.0,D,-1
99,"Monday, Jul 22",CIN,@,SFG,11.0,0.0,56-43,3.0,4.5,N,1
100,"Tuesday, Jul 23 (1)",CIN,@,SFG,9.0,3.0,57-43,3.0,5.0,D,2
101,"Tuesday, Jul 23 (2)",CIN,@,SFG,3.0,5.0,57-44,3.0,5.0,N,-1
102,"Wednesday, Jul 24",CIN,@,SFG,8.0,3.0,58-44,3.0,5.0,N,1
103,"Thursday, Jul 25",CIN,@,LAD,5.0,2.0,59-44,3.0,5.0,N,2
104,"Friday, Jul 26",CIN,@,LAD,1.0,2.0,59-45,3.0,5.0,N,-1
105,"Saturday, Jul 27",CIN,@,LAD,1.0,4.0,59-46,3.0,5.0,N,-2
106,"Sunday, Jul 28",CIN,@,LAD,0.0,1.0,59-47,3.0,5.0,D,-3
107,"Monday, Jul 29",CIN,@,SDP,1.0,2.0,59-48,3.0,5.0,N,-4
108,"Tuesday, Jul 30",CIN,@,SDP,2.0,4.0,59-49,3.0,6.0,N,-5
109,"Wednesday, Jul 31",CIN,@,SDP,4.0,1.0,60-49,3.0,6.0,D,1
110,"Friday, Aug 2",CIN,Home,STL,3.0,13.0,60-50,3.0,5.5,N,-1
111,"Saturday, Aug 3",CIN,Home,STL,8.0,3.0,61-50,3.0,5.5,N,1
112,"Sunday, Aug 4",CIN,Home,STL,2.0,15.0,61-51,3.0,6.5,D,-1
113,"Tuesday, Aug 6",CIN,Home,OAK,3.0,1.0,62-51,3.0,6.5,N,1
114,"Wednesday, Aug 7",CIN,Home,OAK,6.0,5.0,63-51,3.0,6.5,D,2
115,"Friday, Aug 9",CIN,Home,SDP,7.0,2.0,64-51,3.0,6.0,N,3
116,"Saturday, Aug 10",CIN,Home,SDP,1.0,3.0,64-52,3.0,6.0,N,-1
117,"Sunday, Aug 11",CIN,Home,SDP,3.0,2.0,65-52,3.0,5.0,D,1
118,"Monday, Aug 12",CIN,@,CHC,2.0,0.0,66-52,3.0,4.5,N,2
119,"Tuesday, Aug 13",CIN,@,CHC,6.0,4.0,67-52,3.0,3.5,N,3
120,"Wednesday, Aug 14",CIN,@,CHC,5.0,0.0,68-52,3.0,3.5,D,4
121,"Thursday, Aug 15",CIN,@,MIL,2.0,1.0,69-52,3.0,2.5,N,5
122,"Friday, Aug 16",CIN,@,MIL,6.0,7.0,69-53,3.0,3.5,N,-1
123,"Saturday, Aug 17",CIN,@,MIL,0.0,2.0,69-54,3.0,3.5,N,-2
124,"Sunday, Aug 18",CIN,@,MIL,9.0,1.0,70-54,3.0,2.5,D,1
125,"Monday, Aug 19",CIN,Home,ARI,5.0,3.0,71-54,3.0,2.5,N,2
126,"Tuesday, Aug 20",CIN,Home,ARI,2.0,5.0,71-55,3.0,3.5,N,-1
127,"Wednesday, Aug 21",CIN,Home,ARI,10.0,7.0,72-55,3.0,2.5,N,1
128,"Thursday, Aug 22",CIN,Home,ARI,2.0,1.0,73-55,3.0,2.5,D,2
129,"Friday, Aug 23",CIN,Home,MIL,4.0,6.0,73-56,3.0,3.5,N,-1
130,"Saturday, Aug 24",CIN,Home,MIL,6.0,3.0,74-56,3.0,2.5,N,1
131,"Sunday, Aug 25",CIN,Home,MIL,1.0,3.0,74-57,3.0,2.5,D,-1
132,"Monday, Aug 26",CIN,@,STL,6.0,8.0,74-58,3.0,3.5,N,-2
133,"Tuesday, Aug 27",CIN,@,STL,1.0,6.0,74-59,3.0,4.5,N,-3
134,"Wednesday, Aug 28",CIN,@,STL,10.0,0.0,75-59,3.0,3.5,N,1
135,"Friday, Aug 30",CIN,@,COL,6.0,9.0,75-60,3.0,3.5,N,-1
136,"Saturday, Aug 31",CIN,@,COL,8.0,3.0,76-60,3.0,3.5,N,1
137,"Sunday, Sep 1",CIN,@,COL,4.0,7.0,76-61,3.0,3.5,D,-1
138,"Monday, Sep 2",CIN,Home,STL,7.0,2.0,77-61,3.0,3.5,D,1
139,"Tuesday, Sep 3",CIN,Home,STL,1.0,0.0,78-61,3.0,3.5,N,2
140,"Wednesday, Sep 4",CIN,Home,STL,4.0,5.0,78-62,3.0,3.5,N,-1
141,"Thursday, Sep 5",CIN,Home,STL,6.0,2.0,79-62,3.0,3.0,N,1
142,"Friday, Sep 6",CIN,Home,LAD,3.0,2.0,80-62,3.0,2.0,N,2
143,"Saturday, Sep 7",CIN,Home,LAD,4.0,3.0,81-62,3.0,1.5,D,3
144,"Sunday, Sep 8",CIN,Home,LAD,3.0,2.0,82-62,2.0,1.5,N,4
145,"Monday, Sep 9",CIN,Home,CHC,0.0,2.0,82-63,3.0,2.0,N,-1
146,"Tuesday, Sep 10",CIN,Home,CHC,1.0,9.0,82-64,3.0,3.0,N,-2
147,"Wednesday, Sep 11",CIN,Home,CHC,6.0,0.0,83-64,3.0,3.0,D,1
148,"Friday, Sep 13",CIN,@,MIL,1.0,5.0,83-65,3.0,3.5,N,-1
149,"Saturday, Sep 14",CIN,@,MIL,7.0,3.0,84-65,3.0,2.5,D,1
150,"Sunday, Sep 15",CIN,@,MIL,5.0,6.0,84-66,3.0,3.5,D,-1
151,"Monday, Sep 16",CIN,@,HOU,6.0,1.0,85-66,3.0,2.5,N,1
152,"Tuesday, Sep 17",CIN,@,HOU,10.0,0.0,86-66,3.0,2.5,N,2
153,"Wednesday, Sep 18",CIN,@,HOU,6.0,5.0,87-66,3.0,2.5,N,3
154,"Friday, Sep 20",CIN,@,PIT,6.0,5.0,88-66,2.0,2.0,N,4
155,"Saturday, Sep 21",CIN,@,PIT,2.0,4.0,88-67,3.0,3.0,N,-1
156,"Sunday, Sep 22",CIN,@,PIT,11.0,3.0,89-67,2.0,2.0,D,1
157,"Monday, Sep 23",CIN,Home,NYM,3.0,2.0,90-67,2.0,2.0,N,2
158,"Tuesday, Sep 24",CIN,Home,NYM,2.0,4.0,90-68,3.0,3.0,N,-1
159,"Wednesday, Sep 25",CIN,Home,NYM,0.0,1.0,90-69,3.0,4.0,D,-2
160,"Friday, Sep 27",CIN,Home,PIT,1.0,4.0,90-70,3.0,5.0,N,-3
161,"Saturday, Sep 28",CIN,Home,PIT,3.0,8.0,90-71,3.0,6.0,D,-4
162,"Sunday, Sep 29",CIN,Home,PIT,2.0,4.0,90-72,3.0,7.0,D,-5
1,"Monday, Mar 31",CIN,Home,STL,0.0,1.0,0-1,4.0,1.0,D,-1
2,"Wednesday, Apr 2",CIN,Home,STL,1.0,0.0,1-1,2.0,1.0,N,1
