,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
153,"Wednesday, Sep 18",TBR,@,LAD,8.0,7.0,90-63,2.0,9.0,N,1
154,"Friday, Sep 20",TBR,Home,BOS,5.0,4.0,91-63,2.0,8.5,N,2
155,"Saturday, Sep 21",TBR,Home,BOS,5.0,4.0,92-63,2.0,8.5,N,3
156,"Sunday, Sep 22",TBR,Home,BOS,4.0,7.0,92-64,2.0,9.5,D,-1
157,"Monday, Sep 23",TBR,Home,BOS,7.0,4.0,93-64,2.0,9.0,N,1
158,"Tuesday, Sep 24",TBR,Home,NYY,2.0,1.0,94-64,2.0,8.0,N,2
159,"Wednesday, Sep 25",TBR,Home,NYY,4.0,0.0,95-64,2.0,7.0,N,3
160,"Friday, Sep 27",TBR,@,TOR,6.0,2.0,96-64,2.0,7.0,N,4
161,"Saturday, Sep 28",TBR,@,TOR,1.0,4.0,96-65,2.0,7.0,D,-1
162,"Sunday, Sep 29",TBR,@,TOR,3.0,8.0,96-66,2.0,7.0,D,-2
1,"Friday, Jul 24",TBR,Home,TOR,4.0,6.0,0-1,4.0,1.0,N,-1
2,"Saturday, Jul 25",TBR,Home,TOR,4.0,1.0,1-1,1.0,Tied,D,1
3,"Sunday, Jul 26",TBR,Home,TOR,6.0,5.0,2-1,1.0,Tied,D,2
4,"Monday, Jul 27",TBR,Home,ATL,14.0,5.0,3-1,1.0,up 0.5,N,3
5,"Tuesday, Jul 28",TBR,Home,ATL,5.0,2.0,4-1,1.0,up 1.0,N,4
6,"Wednesday, Jul 29",TBR,@,ATL,4.0,7.0,4-2,1.0,Tied,N,-1
7,"Thursday, Jul 30",TBR,@,ATL,1.0,2.0,4-3,2.0,1.0,N,-2
8,"Friday, Jul 31",TBR,@,BAL,3.0,6.0,4-4,2.0,2.0,N,-3
9,"Saturday, Aug 1",TBR,@,BAL,4.0,5.0,4-5,3.0,3.0,N,-4
10,"Sunday, Aug 2",TBR,@,BAL,1.0,5.0,4-6,4.0,4.0,D,-5
11,"Tuesday, Aug 4",TBR,Home,BOS,5.0,1.0,5-6,3.0,4.0,N,1
12,"Wednesday, Aug 5",TBR,Home,BOS,0.0,5.0,5-7,4.0,4.5,N,-1
13,"Friday, Aug 7",TBR,Home,NYY,1.0,0.0,6-7,2.0,3.0,N,1
14,"Saturday, Aug 8 (1)",TBR,Home,NYY,4.0,8.0,6-8,3.0,3.0,D,-1
15,"Saturday, Aug 8 (2)",TBR,Home,NYY,5.0,3.0,7-8,3.0,3.0,D,1
16,"Sunday, Aug 9",TBR,Home,NYY,4.0,3.0,8-8,3.0,2.0,D,2
17,"Monday, Aug 10",TBR,@,BOS,8.0,7.0,9-8,2.0,1.5,N,3
18,"Tuesday, Aug 11",TBR,@,BOS,8.0,2.0,10-8,2.0,1.5,N,4
19,"Wednesday, Aug 12",TBR,@,BOS,9.0,5.0,11-8,2.0,1.5,N,5
20,"Thursday, Aug 13",TBR,@,BOS,17.0,8.0,12-8,2.0,1.0,D,6
21,"Friday, Aug 14",TBR,@,TOR,4.0,12.0,12-9,2.0,2.0,N,-1
22,"Saturday, Aug 15",TBR,@,TOR,3.0,2.0,13-9,2.0,2.0,D,1
23,"Sunday, Aug 16",TBR,@,TOR,7.0,5.0,14-9,2.0,2.0,D,2
24,"Tuesday, Aug 18",TBR,@,NYY,6.0,3.0,15-9,2.0,1.5,N,3
25,"Wednesday, Aug 19",TBR,@,NYY,4.0,2.0,16-9,2.0,0.5,N,4
26,"Thursday, Aug 20",TBR,@,NYY,10.0,5.0,17-9,1.0,up 0.5,D,5
27,"Friday, Aug 21",TBR,Home,TOR,5.0,6.0,17-10,1.0,Tied,N,-1
28,"Saturday, Aug 22",TBR,Home,TOR,2.0,1.0,18-10,1.0,up 0.5,N,1
29,"Sunday, Aug 23",TBR,Home,TOR,5.0,4.0,19-10,1.0,up 1.0,D,2
30,"Monday, Aug 24",TBR,Home,TOR,4.0,6.0,19-11,1.0,up 0.5,D,-1
31,"Tuesday, Aug 25",TBR,Home,BAL,4.0,2.0,20-11,1.0,up 1.0,N,1
32,"Wednesday, Aug 26",TBR,Home,BAL,4.0,3.0,21-11,1.0,up 2.5,N,2
33,"Friday, Aug 28",TBR,@,MIA,2.0,0.0,22-11,1.0,up 4.0,N,3
34,"Saturday, Aug 29",TBR,@,MIA,4.0,0.0,23-11,1.0,up 4.0,N,4
35,"Sunday, Aug 30",TBR,@,MIA,12.0,7.0,24-11,1.0,up 3.5,D,5
36,"Monday, Aug 31",TBR,@,NYY,5.0,3.0,25-11,1.0,up 4.5,N,6
37,"Tuesday, Sep 1",TBR,@,NYY,3.0,5.0,25-12,1.0,up 3.5,N,-1
38,"Wednesday, Sep 2",TBR,@,NYY,5.0,2.0,26-12,1.0,up 4.5,N,1
39,"Friday, Sep 4",TBR,Home,MIA,5.0,4.0,27-12,1.0,up 5.5,N,2
40,"Saturday, Sep 5",TBR,Home,MIA,3.0,7.0,27-13,1.0,up 5.5,N,-1
41,"Sunday, Sep 6",TBR,Home,MIA,5.0,4.0,28-13,1.0,up 5.5,D,1
42,"Monday, Sep 7",TBR,@,WSN,1.0,6.0,28-14,1.0,up 4.5,N,-1
43,"Tuesday, Sep 8",TBR,@,WSN,3.0,5.0,28-15,1.0,up 3.5,N,-2
44,"Thursday, Sep 10",TBR,Home,BOS,3.0,4.0,28-16,1.0,up 3.5,N,-3
45,"Friday, Sep 11",TBR,Home,BOS,11.0,1.0,29-16,1.0,up 4.5,N,1
46,"Saturday, Sep 12",TBR,Home,BOS,5.0,4.0,30-16,1.0,up 4.5,N,2
47,"Sunday, Sep 13",TBR,Home,BOS,3.0,6.0,30-17,1.0,up 3.5,D,-1
48,"Tuesday, Sep 15",TBR,Home,WSN,6.0,1.0,31-17,1.0,up 4.0,N,1
49,"Wednesday, Sep 16",TBR,Home,WSN,2.0,4.0,31-18,1.0,up 3.0,D,-1
50,"Thursday, Sep 17 (1)",TBR,@,BAL,3.0,1.0,32-18,1.0,up 3.5,D,1
51,"Thursday, Sep 17 (2)",TBR,@,BAL,10.0,6.0,33-18,1.0,up 3.5,N,2
52,"Friday, Sep 18",TBR,@,BAL,2.0,1.0,34-18,1.0,up 3.5,N,3
53,"Saturday, Sep 19",TBR,@,BAL,3.0,1.0,35-18,1.0,up 3.5,N,4
54,"Sunday, Sep 20",TBR,@,BAL,1.0,2.0,35-19,1.0,up 3.5,D,-1
55,"Monday, Sep 21",TBR,@,NYM,2.0,1.0,36-19,1.0,up 4.5,N,1
56,"Tuesday, Sep 22",TBR,@,NYM,2.0,5.0,36-20,1.0,up 3.5,N,-1
57,"Wednesday, Sep 23",TBR,@,NYM,8.0,5.0,37-20,1.0,up 4.5,N,1
58,"Friday, Sep 25",TBR,Home,PHI,6.0,4.0,38-20,1.0,up 6.0,N,2
59,"Saturday, Sep 26",TBR,Home,PHI,4.0,3.0,39-20,1.0,up 6.0,N,3
60,"Sunday, Sep 27",TBR,Home,PHI,5.0,0.0,40-20,1.0,up 7.0,D,4
1,"Thursday, Apr 1",TBR,@,MIA,1.0,0.0,1-0,1.0,Tied,D,1
2,"Friday, Apr 2",TBR,@,MIA,6.0,4.0,2-0,1.0,up 0.5,N,2
3,"Saturday, Apr 3",TBR,@,MIA,7.0,12.0,2-1,2.0,0.5,N,-1
4,"Monday, Apr 5",TBR,@,BOS,2.0,11.0,2-2,3.0,1.0,N,-2
5,"Tuesday, Apr 6",TBR,@,BOS,5.0,6.0,2-3,4.0,1.0,N,-3
6,"Wednesday, Apr 7",TBR,@,BOS,2.0,9.0,2-4,5.0,2.0,D,-4
7,"Friday, Apr 9",TBR,Home,NYY,10.0,5.0,3-4,3.0,1.0,D,1
8,"Saturday, Apr 10",TBR,Home,NYY,4.0,0.0,4-4,2.0,1.0,D,2
9,"Sunday, Apr 11",TBR,Home,NYY,4.0,8.0,4-5,2.0,2.0,D,-1
10,"Monday, Apr 12",TBR,Home,TEX,1.0,0.0,5-5,2.0,1.5,N,1
