,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
35,"Wednesday, Sep 2",TOR,@,MIA,2.0,1.0,19-16,3.0,5.5,N,1.0
36,"Thursday, Sep 3",TOR,@,BOS,6.0,2.0,20-16,2.0,5.0,N,2.0
37,"Friday, Sep 4 (1)",TOR,@,BOS,8.0,7.0,21-16,2.0,5.5,D,3.0
38,"Friday, Sep 4 (2)",TOR,@,BOS,2.0,3.0,21-17,2.0,5.5,N,-1.0
39,"Saturday, Sep 5",TOR,@,BOS,8.0,9.0,21-18,2.0,5.5,N,-2.0
40,"Sunday, Sep 6",TOR,@,BOS,10.0,8.0,22-18,2.0,5.5,D,1.0
41,"Monday, Sep 7",TOR,Home,NYY,12.0,7.0,23-18,2.0,4.5,N,2.0
42,"Tuesday, Sep 8",TOR,Home,NYY,2.0,1.0,24-18,2.0,3.5,N,3.0
43,"Wednesday, Sep 9",TOR,Home,NYY,2.0,7.0,24-19,2.0,4.0,N,-1.0
44,"Friday, Sep 11",TOR,Home,NYM,1.0,18.0,24-20,2.0,4.5,N,-2.0
45,"Saturday, Sep 12",TOR,Home,NYM,3.0,2.0,25-20,2.0,4.5,N,1.0
46,"Sunday, Sep 13",TOR,Home,NYM,7.0,3.0,26-20,2.0,3.5,D,2.0
47,"Tuesday, Sep 15",TOR,@,NYY,6.0,20.0,26-21,3.0,4.5,N,-1.0
48,"Wednesday, Sep 16",TOR,@,NYY,2.0,13.0,26-22,3.0,4.5,N,-2.0
49,"Thursday, Sep 17",TOR,@,NYY,7.0,10.0,26-23,3.0,6.0,N,-3.0
50,"Friday, Sep 18 (1)",TOR,@,PHI,0.0,7.0,26-24,3.0,7.5,D,-4.0
51,"Friday, Sep 18 (2)",TOR,@,PHI,7.0,8.0,26-25,3.0,7.5,N,-5.0
52,"Saturday, Sep 19",TOR,@,PHI,1.0,3.0,26-26,3.0,8.5,N,-6.0
53,"Sunday, Sep 20",TOR,@,PHI,6.0,3.0,27-26,3.0,7.5,D,1.0
54,"Monday, Sep 21",TOR,Home,NYY,11.0,5.0,28-26,3.0,7.5,N,2.0
55,"Tuesday, Sep 22",TOR,Home,NYY,1.0,12.0,28-27,3.0,7.5,N,-1.0
56,"Wednesday, Sep 23",TOR,Home,NYY,14.0,1.0,29-27,3.0,7.5,N,1.0
57,"Thursday, Sep 24",TOR,Home,NYY,4.0,1.0,30-27,3.0,7.0,N,2.0
58,"Friday, Sep 25",TOR,Home,BAL,10.0,5.0,31-27,3.0,7.0,N,3.0
59,"Saturday, Sep 26",TOR,Home,BAL,5.0,2.0,32-27,3.0,7.0,N,4.0
60,"Sunday, Sep 27",TOR,Home,BAL,5.0,7.0,32-28,3.0,8.0,D,-1.0
1,"Thursday, Apr 1",TOR,@,NYY,3.0,2.0,1-0,1.0,Tied,D,1.0
2,"Saturday, Apr 3",TOR,@,NYY,3.0,5.0,1-1,3.0,1.0,D,-1.0
3,"Sunday, Apr 4",TOR,@,NYY,3.0,1.0,2-1,2.0,1.0,D,1.0
4,"Monday, Apr 5",TOR,@,TEX,6.0,2.0,3-1,1.0,Tied,D,2.0
5,"Tuesday, Apr 6",TOR,@,TEX,4.0,7.0,3-2,1.0,Tied,N,-1.0
6,"Wednesday, Apr 7",TOR,@,TEX,1.0,2.0,3-3,2.0,1.0,D,-2.0
7,"Thursday, Apr 8",TOR,Home,LAA,5.0,7.0,3-4,4.0,1.0,N,-3.0
8,"Friday, Apr 9",TOR,Home,LAA,1.0,7.0,3-5,5.0,1.5,N,-4.0
9,"Saturday, Apr 10",TOR,Home,LAA,15.0,1.0,4-5,4.0,1.5,N,1.0
10,"Monday, Apr 12",TOR,Home,NYY,1.0,3.0,4-6,5.0,2.5,N,-1.0
11,"Tuesday, Apr 13",TOR,Home,NYY,7.0,3.0,5-6,2.0,2.5,N,1.0
12,"Wednesday, Apr 14",TOR,Home,NYY,5.0,4.0,6-6,2.0,3.0,D,2.0
13,"Thursday, Apr 15",TOR,@,KCR,5.0,7.0,6-7,2.0,3.0,N,-1.0
14,"Saturday, Apr 17 (1)",TOR,@,KCR,5.0,1.0,7-7,2.0,3.5,D,1.0
15,"Saturday, Apr 17 (2)",TOR,@,KCR,2.0,3.0,7-8,2.0,3.5,N,-1.0
16,"Sunday, Apr 18",TOR,@,KCR,0.0,2.0,7-9,3.0,3.0,D,-2.0
17,"Tuesday, Apr 20",TOR,@,BOS,2.0,4.0,7-10,4.0,4.5,N,-3.0
18,"Wednesday, Apr 21",TOR,@,BOS,6.0,3.0,8-10,3.0,3.5,N,1.0
19,"Friday, Apr 23",TOR,@,TBR,5.0,3.0,9-10,3.0,3.0,N,2.0
20,"Saturday, Apr 24",TOR,@,TBR,3.0,5.0,9-11,3.0,3.0,N,-1.0
21,"Sunday, Apr 25",TOR,@,TBR,1.0,0.0,10-11,3.0,3.0,D,1.0
22,"Tuesday, Apr 27",TOR,Home,WSN,9.0,5.0,11-11,2.0,3.0,N,2.0
